Place,Athlete,Class,Team,Time,Points,Year
32,Cole Rockhold,JR,Colorado State,29:54.1,25,2017
33,Eduardo Herrera,FR,Colorado,29:55.5,26,2017
34,Jacob Choge,SO,Middle Tennessee State,29:55.6,27,2017
35,Andy Trouard,SR,Northern Arizona,29:58.1,28,2017
36,Miler Haller,SO,Boise State,29:58.3,29,2017
37,Alfred Chelanga,JR,Alabama,29:58.4,30,2017
38,Johannes Motschmann,SR,Iona,29:58.7,31,2017
39,Rory Linkletter,JR,BYU,29:59.1,32,2017
40,Geordie Beamish,SO,Northern Arizona,30:01.2,33,2017
41,Tanner Anderson,JR,Oregon,30:01.4,34,2017
42,Daniel Carney,JR,BYU,30:03.5,35,2017
43,Austen Dalquist,SR,Arkansas,30:04.8,36,2017
44,Cooper Teare,FR,Oregon,30:06.8,37,2017
45,Peter Seufer,SO,Virginia Tech,30:08.6,38,2017
46,Matt Welch,SR,Portland,30:09.7,39,2017
47,Hassan Abdi,SR,Oklahoma State,30:09.9,40,2017
48,Connor Mora,SR,Michigan,30:10.0,41,2017
49,Jonathan Davis,SO,Illinois,30:10.8,—,2017
50,Josh Collins,JR,Southern Utah,30:10.9,42,2017
51,Alex George,SR,Arkansas,30:11.2,43,2017
52,Patrick Joseph,SR,Virginia Tech,30:12.5,44,2017
53,Stanley Langat,SO,Iowa State,30:14.3,45,2017
54,Caleb Webb,SO,Portland,30:14.4,46,2017
55,Andrew Marston,SO,Villanova,30:14.7,—,2017
56,Colin Bennie,SR,Syracuse,30:15.3,47,2017
57,Ryan Forsyth,JR,Colorado,30:15.8,48,2017
58,Grant Fischer,SR,Colorado State,30:16.2,49,2017
59,Andrew Johnston,SR,Air Force,30:18.4,50,2017
60,Luis Grijalva,FR,Northern Arizona,30:19.4,51,2017
61,Brian Barraza,SR,Houston,30:19.4,—,2017
62,Conor Lundy,SO,Princeton,30:19.7,52,2017
63,Chandler Teigen,JR,Washington State,30:20.5,53,2017
64,Logan Orndorf,JR,Portland,30:20.9,54,2017
65,Kramer Morton,FR,BYU,30:21.7,55,2017
66,Andrew Gardner,SR,Washington,30:23.1,56,2017
67,Joe Klecker,SO,Colorado,30:24.4,57,2017
68,Dan Curts,JR,Iowa State,30:24.7,58,2017
69,Casey Comber,SO,Villanova,30:25.2,—,2017
70,Michael Williams,SR,Washington State,30:26.4,59,2017
71,Jonathan Harper,SR,BYU,30:27.4,60,2017
72,Thomas Madden,SR,UC Davis,30:27.5,—,2017
73,Aaron Baumgarten,SR,Michigan,30:27.9,61,2017
74,Aubrey Myjer,SR,NC State,30:28.4,62,2017
75,Ian Shanklin,FR,NC State,30:28.7,63,2017
76,Matthew Wright,SR,Southern Utah,30:29.0,64,2017
77,Mike Tate,SR,Southern Utah,30:29.7,65,2017
78,Reed Brown,FR,Oregon,30:30.1,66,2017
79,Arsène Guillorel,SR,Samford,30:30.3,—,2017
80,Paul Hogan,JR,UMass Lowell,30:30.4,—,2017
81,Austin Tamagno,SO,Oregon,30:30.5,67,2017
82,Kasey Knevelbaard,JR,Southern Utah,30:31.0,68,2017
83,Tai Dinger,JR,Stanford,30:31.1,69,2017
84,Blake Haney,JR,Oregon,30:31.7,70,2017
85,Lachlan Cook,SO,Virginia,30:32.7,71,2017
86,Cameron Griffith,JR,Arkansas,30:32.9,72,2017
87,Ben Veatch,SO,Indiana,30:33.8,—,2017
88,Robert Brandt,JR,UCLA,30:34.4,73,2017
89,Adam Peterman,SR,Colorado,30:34.7,74,2017
90,Eric Hamer,JR,Colorado State,30:35.1,75,2017
91,Morgan Beadlescomb,SO,Michigan State,30:35.4,76,2017
92,Joe Hardy,SR,Wisconsin,30:35.5,—,2017
93,Wayde Hall,SR,Colorado State,30:36.6,77,2017
94,Nathan Wadhwani,JR,Washington State,30:37.5,78,2017
95,Elijah Moskowitz,JR,NC State,30:37.7,79,2017
96,Derek Gutierrez,SR,Ole Miss,30:39.9,80,2017
97,Nathan Rodriguez,JR,Iowa State,30:41.2,81,2017
98,Thomas Pollard,SO,Iowa State,30:41.4,82,2017
99,Kyle Mattes,JR,Illinois State,30:42.0,—,2017
100,Waleed Suliman,FR,Ole Miss,30:42.9,83,2017
101,Chase Weaverling,SR,Virginia,30:43.0,84,2017
102,Cory Glines,SR,Northern Arizona,30:44.6,85,2017
103,Colin Burke,SO,UCLA,30:45.0,86,2017
104,Tyson Lambert,SR,Utah Valley,30:46.6,—,2017
105,Clayton Young,JR,BYU,30:47.4,87,2017
106,Colby Gilbert,SR,Washington,30:47.8,88,2017
107,Zach Perrin,SR,Colorado,30:48.1,89,2017
108,Christian Farris,SR,Texas A&M,30:48.6,—,2017
109,Aidan Tooker,SO,Syracuse,30:49.4,90,2017
110,Jimmy Shipley,SR,Air Force,30:49.4,91,2017
111,Carson Hume,JR,Colorado State,30:49.4,92,2017
112,Chartt Miller,SR,Iona,30:49.5,93,2017
113,Ahmed Muhumed,FR,Boise State,30:52.0,94,2017
114,George Espino,JR,Southern Utah,30:52.3,95,2017
115,Ari Klau,SO,Virginia,30:52.4,96,2017
116,Matt Young,FR,Arkansas,30:52.7,97,2017
117,Sam Prakel,SR,Oregon,30:52.8,98,2017
118,Andy Snyder,SO,Washington,30:53.9,99,2017
119,Daniel Jaskowak,SR,Virginia Tech,30:54.0,100,2017
120,Jacob Pickle,JR,Texas,30:54.5,101,2017
121,Garrett Reynolds,SO,UCLA,30:54.8,102,2017
122,John Aho,FR,Michigan,30:54.9,103,2017
123,Frank Lara,SR,Furman,30:55.0,104,2017
124,Isaac Harding,FR,Michigan,30:55.9,105,2017
125,Sampson Laari,SR,Middle Tennessee State,30:56.2,106,2017
126,Clark Ruiz,SR,Michigan State,30:56.5,107,2017
127,Myles Smith,SR,UCLA,30:57.3,108,2017
128,Alex Rogers,JR,Texas,30:57.5,109,2017
129,Gannon Willcutts,SO,Princeton,30:57.5,110,2017
130,Max Benoit,SR,Michigan State,30:57.9,111,2017
131,Liam Dee,JR,Iona,30:58.6,112,2017
132,Michael Hall,SR,Florida State,30:58.8,—,2017
133,Nathan Thomas,JR,Air Force,30:59.3,113,2017
134,Tanner Hinkle,SR,Furman,30:59.8,114,2017
135,Andrew Tario,SR,Iona,30:59.8,115,2017
136,Jackson Marshall,JR,UCLA,31:00.5,116,2017
137,Joe Bistritz,FR,NC State,31:00.5,117,2017
138,Callum Bolger,FR,Stanford,31:00.7,118,2017
139,Billy Bund,SR,Michigan,31:02.1,119,2017
140,Garrett Corcoran,SR,Cal,31:02.6,—,2017
141,Aaron Templeton,JR,Furman,31:03.4,120,2017
142,Philo Germano,SR,Syracuse,31:04.0,121,2017
143,Mahmoud Moussa,JR,Washington,31:04.3,122,2017
144,Talon Hull,FR,Washington,31:05.3,123,2017
145,Alek Parsons,FR,Stanford,31:05.6,124,2017
146,Taylor FloydMews,SR,Bradley,31:06.5,—,2017
147,Milo Greder,FR,Iowa State,31:06.7,125,2017
148,Noah Schutte,JR,Portland,31:07.0,126,2017
149,James Withers,SO,Utah State,31:07.2,127,2017
150,Sylvester Barus,SR,Oklahoma State,31:07.7,128,2017
151,Daniel Bernal,FR,Furman,31:08.3,129,2017
152,Jon Bishop,SO,Texas A&M,31:09.1,—,2017
153,Aidan Reed,SO,Southern Utah,31:09.3,130,2017
154,Luis Martinez,SR,Oklahoma State,31:10.2,131,2017
155,Blair Hurlock,JR,Stanford,31:11.7,132,2017
156,Jake Hoffert,SO,Bradley,31:12.4,—,2017
157,Ehab El-Sandali,FR,Iona,31:13.0,133,2017
158,Patrick Sheehan,JR,NC State,31:13.1,134,2017
159,Colin Abert,JR,Penn State,31:13.9,—,2017
160,John Valeri,SR,Army West Point,31:14.2,—,2017
161,J.D. Thorne,SO,Utah State,31:14.2,135,2017
162,Troy Reeder,SR,Furman,31:14.3,136,2017
163,Jack Joyce,SO,Virginia Tech,31:14.8,137,2017
164,George Gleason,SO,UCLA,31:15.9,138,2017
165,Trent Brendel,SR,Cal,31:16.0,—,2017
166,Andrew Ronoh,JR,Arkansas,31:16.5,139,2017
167,Jake Brophy,SO,Navy,31:17.7,140,2017
168,Parker Scott,FR,Ole Miss,31:18.0,141,2017
169,Jerrell Mock,SR,Colorado State,31:18.1,142,2017
170,Brayden Law,FR,Michigan State,31:18.1,143,2017
171,Daniel De La Torre,SR,UCLA,31:18.3,144,2017
172,Tibebu Proctor,FR,Washington,31:18.4,145,2017
173,Robert Stone,SR,Princeton,31:20.6,146,2017
174,Joe Dragon,FR,Syracuse,31:22.3,147,2017
175,Trent Powell,JR,Colorado State,31:22.5,148,2017
176,Josh Brickell,SR,Furman,31:23.0,149,2017
177,Ethan Gonzales,JR,Colorado,31:23.3,150,2017
178,Ryan Manahan,SR,Ole Miss,31:24.2,151,2017
179,Christian Ricketts,FR,Southern Utah,31:24.7,152,2017
180,Joe Riordan,FR,Michigan State,31:25.0,153,2017
181,Amos Cheruiyot,SR,Middle Tennessee State,31:25.7,154,2017
182,Viraj Deokar,SO,Princeton,31:26.0,155,2017
183,Kevin Murray,SO,Navy,31:26.0,156,2017
184,Garrett O’Toole,SR,Princeton,31:26.4,157,2017
185,Oliver Hoare,SO,Wisconsin,31:27.6,—,2017
186,Ben Hill,SO,Michigan,31:27.7,158,2017
187,Noah Riley,JR,Air Force,31:28.1,159,2017
188,Ben Barrett,SO,NC State,31:28.5,160,2017
189,Michael Vennard,SR,Boise State,31:29.3,161,2017
190,Vincent Ciattei,SR,Virginia Tech,31:29.5,162,2017
191,Emmanuel Rotich,JR,Tulane,31:30.5,—,2017
192,Ryan Smeeton,FR,Oklahoma State,31:31.8,163,2017
193,Patrick Sullivan,SO,Air Force,31:32.5,164,2017
194,Darren Harman,SO,Utah State,31:33.4,165,2017
195,Cory Donley,SR,Navy,31:34.0,166,2017
196,Chandler Austin,JR,Boise State,31:35.2,167,2017
197,Alex Corbett,SO,Virginia,31:35.7,168,2017
198,Dominic Hockenbury,FR,Syracuse,31:36.3,169,2017
199,Luke Beattie,SO,Utah State,31:36.4,170,2017
200,Christian Martin,SR,Colorado,31:38.0,171,2017
201,Matthew Watkins,FR,Washington State,31:38.3,172,2017
202,Diego Zarate,JR,Virginia Tech,31:38.5,173,2017
203,Connor O’Neill,FR,Texas,31:40.6,174,2017
204,Christian Liddell,JR,Oklahoma State,31:41.3,175,2017
205,Brandon Harvey,JR,Ole Miss,31:41.6,176,2017
206,Justin Janke,SO,Washington State,31:43.0,177,2017
207,Neil Gourley,SR,Virginia Tech,31:43.5,178,2017
208,Mason Coppi,SO,Furman,31:44.5,179,2017
209,Adam Hendrickson,SO,Utah State,31:44.9,180,2017
210,Jack O’Leary,FR,Iona,31:48.1,181,2017
211,Swarnjit Boyal,SR,Cal Poly,31:48.7,—,2017
212,Jesse Hersha,SO,Michigan State,31:49.8,182,2017
213,John Rice,SO,Texas,31:50.2,183,2017
214,John Nownes,JR,Iowa State,31:51.5,184,2017
215,Bryce Miller,SR,UMKC,31:52.9,—,2017
216,Dominic DeLuca,SR,Cornell,31:56.4,—,2017
217,Yusuke Uchikoshi,JR,Boise State,31:57.7,185,2017
218,Matthew Fayers,SR,Oklahoma State,31:59.0,186,2017
219,Timothy McGowan,SR,Penn State,31:59.7,—,2017
220,Henry Pearce,SR,Tulsa,32:00.0,—,2017
221,Nolan Hesse,SR,Ole Miss,32:00.8,187,2017
222,Paul Luevano,SO,Boston U.,32:01.8,—,2017
223,Garrett Bull,SR,Alabama,32:03.2,188,2017
224,Josh Kerr,SO,New Mexico,32:04.7,—,2017
225,Ethan Moehn,JR,Arkansas,32:05.4,189,2017
226,Noah Kauppila,SR,Princeton,32:05.8,190,2017
227,Andrew Bull,SR,Alabama,32:06.3,191,2017
228,Eric Kroon,JR,Texas,32:06.8,192,2017
229,Noah Gade,SR,Oklahoma State,32:09.6,193,2017
230,Kenneth Hagen,JR,Virginia,32:09.8,194,2017
231,Gabriel Collison,SR,Navy,32:13.2,195,2017
232,Paul Ryan,SO,Washington State,32:14.1,196,2017
233,Patrick Reilly,SR,Lehigh,32:20.0,—,2017
234,Iliass Aouani,JR,Syracuse,32:21.3,197,2017
235,Josh Hanna,SR,Navy,32:22.6,198,2017
236,Daniel Sims,JR,Michigan State,32:29.9,199,2017
237,Johnny Pace,SO,Virginia,32:33.8,200,2017
238,Philip Hall,JR,NC State,32:34.5,201,2017
239,Garek Bielaczyc,SO,Texas,32:34.7,202,2017
240,Evan Prizy,SR,Alabama,32:40.0,203,2017
241,Andrew Rafla,JR,Boise State,32:40.7,204,2017
242,Wolfgang Beck,SR,Princeton,32:42.2,205,2017
243,James Brinyark,SO,Alabama,32:59.6,206,2017
244,Geoffry Cheruiyot,SR,Middle Tennessee State,33:09.2,207,2017
245,Gavin Parpart,FR,Washington,33:16.9,208,2017
246,Jacob Shewbert,SO,Navy,33:19.4,209,2017
247,Jake Finney,JR,Washington State,33:26.2,210,2017
248,Jacob Bilvado,JR,Air Force,33:43.8,211,2017
249,Brody Smith,FR,Utah State,34:50.1,212,2017
250,Nathan Mack,SO,Middle Tennessee State,35:14.8,213,2017
1,Patrick Tiernan,SR,Villanova,29:22.0,—,2016
2,Justyn Knight,JR,Syracuse,29:27.3,1,2016
3,Edward Cheserek,SR,Oregon,29:48.0,2,2016
4,Futsum Zienasellassie,SR,Northern Arizona,29:49.8,3,2016
5,Grant Fisher,SO,Stanford,29:57.9,4,2016
6,MJ Erb,SR,Mississippi,29:58.6,5,2016
7,Morgan McDonald,SR,Wisconsin,29:59.2,6,2016
8,Edwin Kibichiy,SR,Louisville,29:59.6,—,2016
9,Nicolas Montanez,SR,BYU,30:02.3,7,2016
10,Scott Carpenter,SR,Georgetown,30:03.0,8,2016
11,Matthew Baxter,JR,Northern Arizona,30:03.1,9,2016
12,Dillon Maggard,JR,Utah State,30:03.9,—,2016
13,Luke Traynor,SR,Tulsa,30:07.7,10,2016
14,Ferdinand Edman,SR,UCLA,30:08.8,11,2016
15,Alex George,JR,Arkansas,30:10.1,12,2016
16,Hassan Abdi,JR,Oklahoma State,30:10.1,13,2016
17,Colin Bennie,JR,Syracuse,30:10.4,14,2016
18,Yusuke Uchikoshi,JR,Boise State,30:10.8,15,2016
19,Jack Bruce,JR,Arkansas,30:10.9,16,2016
20,Joel Reichow,SR,South Dakota State,30:11.5,—,2016
21,Ben Saarel,SR,Colorado,30:11.8,17,2016
22,Alex Short,SR,San Francisco,30:12.1,—,2016
23,Tyler Day,SO,Northern Arizona,30:13.0,18,2016
24,Sean McGorty,SR,Stanford,30:13.3,19,2016
25,Malachy Schrobilgen,SR,Wisconsin,30:13.5,20,2016
26,Lawrence Kipkoech,SO,Campbell,30:13.9,—,2016
27,Sherod Hardt,SR,Michigan State,30:15.4,21,2016
28,Joe Klecker,FR,Colorado,30:15.7,22,2016
29,Matthew Maton,SO,Oregon,30:16.0,23,2016
30,Michael Williams,JR,Washington State,30:16.6,24,2016
31,Nicholas Raymond,SR,Eastern Michigan,30:18.9,—,2016
32,Rory Linkletter,SO,BYU,30:19.6,25,2016
33,John Dressel,SO,Colorado,30:21.3,26,2016
34,Joel Hubbard,SR,Syracuse,30:21.3,27,2016
35,Amon Terer,SR,Campbell,30:21.3,—,2016
36,Joshua Thompson,SR,Oklahoma State,30:23.5,28,2016
37,Andy Trouard,JR,Northern Arizona,30:23.5,29,2016
38,Jason Crist,SR,Indiana,30:23.6,—,2016
39,Wes Gallagher,SR,Mississippi,30:26.4,30,2016
40,Jacob Choge,FR,Middle Tennessee State,30:27.7,31,2016
41,Sam Wharton,SR,Stanford,30:28.2,32,2016
42,Brent Demarest,SO,Virginia,30:28.6,33,2016
43,Antibahs Kosgei,SR,Alabama,30:29.5,—,2016
44,Kieran Clements,SR,Iona,30:30.2,34,2016
45,Thomas Pollard,FR,Iowa State,30:30.6,35,2016
46,Matthew Schwartzer,SR,Indiana,30:31.0,—,2016
47,Gabe Arias-Sheridan,JR,St. Mary’s (Cal.),30:31.3,—,2016
48,Cameron Griffith,SO,Arkansas,30:32.0,36,2016
49,Philo Germano,JR,Syracuse,30:32.5,37,2016
50,Reed Fischer,SR,Drake,30:33.4,—,2016
51,George Parsons,SR,NC State,30:33.9,38,2016
52,Jonah Diaz,SR,UCLA,30:34.0,39,2016
53,Zach Herriott,SR,Virginia,30:34.1,40,2016
54,Jerrell Mock,SR,Colorado State,30:34.2,41,2016
55,Robert Domanic,SR,Mississippi,30:34.5,42,2016
56,Dylan Lafond,SR,Illinois,30:34.6,43,2016
57,Arse’ne Guillorel,JR,Samford,30:34.9,—,2016
58,Kevyn Hoyos,SR,Iowa State,30:35.2,44,2016
59,Steven Fahy,SO,Stanford,30:35.8,45,2016
60,Michael Clevenger,SR,Georgetown,30:36.1,46,2016
61,Josh Collins,SO,Southern Utah,30:36.4,47,2016
62,Sean Tobin,JR,Mississippi,30:36.9,48,2016
63,John Whelan,SR,Washington State,30:37.6,49,2016
64,Chartt Miller,JR,Iona,30:38.4,50,2016
65,Joe Hardy,SR,Wisconsin,30:39.0,51,2016
66,Olin Hacker,FR,Wisconsin,30:39.0,52,2016
67,Andrew Ronoh,SO,Arkansas,30:39.6,53,2016
68,Tanner Anderson,SO,Oregon,30:39.9,54,2016
69,Brady Johnson,SR,Portland,30:41.0,55,2016
70,Jeff Thies,JR,Portland,30:41.5,56,2016
71,Michael Ward,JR,Bradley,30:41.9,—,2016
72,Benjamin Preisner,JR,Tulsa,30:42.0,57,2016
73,Garrett Sweatt,SR,Stanford,30:42.2,58,2016
74,Ryan Forsyth,SO,Colorado,30:42.8,59,2016
75,Hugh Armstrong,SR,Providence,30:43.7,60,2016
76,Adam Roderique,JR,Tulsa,30:43.9,61,2016
77,Clayton Young,SO,BYU,30:43.9,62,2016
78,Jacob Thomson,JR,Kentucky,30:45.0,—,2016
79,Grant Fischer,SR,Colorado State,30:45.1,63,2016
80,Jonathan Davis,FR,Illinois,30:45.7,64,2016
81,Tim Ball,SR,Portland,30:45.8,65,2016
82,Harry Mulenga,SR,Florida State,30:45.9,—,2016
83,Frank Lara,JR,Furman,30:46.2,—,2016
84,Cory Glines,JR,Northern Arizona,30:46.4,66,2016
85,Emmanuel Rotich,SO,Tulane,30:46.5,—,2016
86,Jack Keelan,JR,Stanford,30:46.8,67,2016
87,Gilbert Kirui,JR,Iona,30:47.2,68,2016
88,Lucas Stalnaker,SR,Navy,30:48.6,69,2016
89,Anthony Laurita,FR,Colorado State,30:48.9,70,2016
90,Craig Engels,SR,Mississippi,30:49.1,71,2016
91,Stephen Mulherin,SR,Portland,30:49.5,72,2016
92,Spencer Hanson,JR,BYU,30:49.6,73,2016
93,Johannes Motschmann,JR,Iona,30:49.9,74,2016
94,Conor Lundy,FR,Princeton,30:49.9,—,2016
95,Nathan Weitz,SR,Northern Arizona,30:50.2,75,2016
96,Miler Haller,FR,Boise State,30:50.6,76,2016
97,Geordie Beamish,FR,Northern Arizona,30:51.2,77,2016
98,Aubrey Myjer,SR,NC State,30:51.5,78,2016
99,Dan Curts,SO,Iowa State,30:51.5,79,2016
100,Fred Huxham,JR,Washington,30:51.7,—,2016
101,Jonathan Harper,JR,BYU,30:51.9,80,2016
102,Sean Burke,SO,Boston College,30:52.9,—,2016
103,Lachlan Cook,SO,Virginia,30:53.4,81,2016
104,Sam Prakel,JR,Oregon,30:53.6,82,2016
105,Erick Rotich,SO,Eastern Kentucky,30:54.6,—,2016
106,Henry Pearce,JR,Tulsa,30:55.0,83,2016
107,Mitchell Briggs,SR,BYU,30:55.1,84,2016
108,Adam Visokay,SR,Syracuse,30:55.6,85,2016
109,Robert Brandt,SO,Cal,30:57.4,86,2016
110,Brayden McLelland,FR,BYU,30:57.4,87,2016
111,Michael Vennard,JR,Boise State,30:57.7,88,2016
112,Frankline Tonui,SR,Arkansas,30:58.0,89,2016
113,Nathan Tadesse,SO,Washington State,30:58.1,90,2016
114,James Randon,SR,Yale,30:58.1,—,2016
115,Sam Levora,JR,Washington State,30:58.6,91,2016
116,Kevin James,SO,Syracuse,30:58.6,92,2016
117,Liam Dee,SO,Iona,31:01.3,93,2016
118,Julian Heninger,SR,Dartmouth,31:01.6,94,2016
119,Julian Oakley,SR,Providence,31:02.2,95,2016
120,Ryan Robinson,SO,Michigan State,31:02.6,96,2016
121,Christian Liddell,SO,Oklahoma State,31:03.1,97,2016
122,Jonah Koech,SO,UTEP,31:03.2,98,2016
123,Robbie Farnham-Rose,SR,Alabama,31:04.3,—,2016
124,Brian Zabilski,SO,Columbia,31:04.4,—,2016
125,Zach Perrin,JR,Colorado,31:04.7,99,2016
126,Garrett Reynolds,FR,UCLA,31:05.0,100,2016
127,Kenny Vasbinder,FR,Columbia,31:05.4,—,2016
128,Iliass Aouani,SO,Syracuse,31:06.4,101,2016
129,Jefferson Abbey,SR,Colorado State,31:06.6,102,2016
130,Nathaniel Adams,SR,Dartmouth,31:06.6,103,2016
131,Benard Keter,SR,Texas Tech,31:07.1,—,2016
132,Patrick Sheehan,SO,NC State,31:07.8,104,2016
133,Nick Soter,SR,Michigan State,31:08.5,105,2016
134,Matt Herzig,SR,Dartmouth,31:09.2,106,2016
135,Jesse Reiser,SO,Illinois,31:09.4,107,2016
136,Josef Andrews,SO,Iowa State,31:09.5,108,2016
137,Antony Kosgei,SO,UTEP,31:09.6,109,2016
138,Cosmas Boit,SR,UTEP,31:10.2,110,2016
139,Sylvester Barus,JR,Oklahoma State,31:10.3,111,2016
140,Carson Hume,SO,Colorado State,31:10.6,112,2016
141,Collin Burke,FR,UCLA,31:10.8,113,2016
142,Anthoney Armstrong,JR,Oklahoma State,31:11.1,114,2016
143,Daniel De La Torre,JR,UCLA,31:11.3,115,2016
144,Andrew Johnston,JR,Air Force,31:11.5,—,2016
145,Chandler Teigen,SO,Washington State,31:12.2,116,2016
146,Andrew Marston,FR,Villanova,31:12.9,—,2016
147,Cole Rockhold,SO,Colorado State,31:13.1,117,2016
148,Andrew Jordan,FR,Iowa State,31:13.1,118,2016
149,Kigen Chemadi,SO,Middle Tennessee State,31:14.5,119,2016
150,Danny Martinez,SR,Portland,31:14.8,120,2016
151,Travis Neuman,JR,Oregon,31:14.9,121,2016
152,Ryan McCoy,SR,Navy,31:15.7,122,2016
153,Timo Goehler,SR,Portland,31:16.6,123,2016
154,Nick Hauger,SO,Portland,31:17.4,124,2016
155,Matthew Fayers,JR,Oklahoma State,31:18.1,125,2016
156,George Espino,SO,Southern Utah,31:18.5,126,2016
157,Ben Eidenschink,FR,Wisconsin,31:18.7,127,2016
158,Toby Hardwick,JR,Iowa State,31:18.9,128,2016
159,Isaac Dobos,SO,Tulsa,31:19.1,129,2016
160,Sebastian Hanson,JR,NC State,31:19.3,130,2016
161,Samuel Williams,SR,Navy,31:19.3,131,2016
162,Derek Gutierrez,JR,Mississippi,31:19.6,132,2016
163,Myles Smith,JR,UCLA,31:19.8,133,2016
164,Christian Alvarado,SO,Georgetown,31:19.8,134,2016
165,Morgan Beadlescomb,FR,Michigan State,31:20.3,135,2016
166,Robert Uhr,JR,Texas,31:20.3,136,2016
167,Spencer Dodds,FR,Texas,31:21.1,137,2016
168,Matthew Wright,JR,Southern Utah,31:21.8,138,2016
169,Austin Del Rosso,SO,Tulsa,31:22.1,139,2016
170,Jac Hopkins,JR,Iona,31:23.5,140,2016
171,Chandler Austin,SO,Boise State,31:23.8,141,2016
172,Connor Hendrickson,JR,Texas,31:23.9,142,2016
173,Kyle Hosting,SR,Arkansas,31:24.2,143,2016
174,Jose Pina,SO,San Jose State,31:24.4,—,2016
175,Craig Lautenslager,SR,UT-Arlington,31:24.7,—,2016
176,Daniel Salas,SR,Dartmouth,31:25.9,144,2016
177,Garrett Corcoran,JR,Cal,31:26.0,145,2016
178,Mitchell Pratt,SR,Navy,31:27.5,146,2016
179,Jesse Hersha,FR,Michigan State,31:27.9,147,2016
180,Kasey Knevelbaard,SO,Southern Utah,31:28.2,148,2016
181,Chase Weaverling,JR,Virginia,31:28.4,149,2016
182,Stephen Robertson,SR,Providence,31:28.9,150,2016
183,Tom O’Neill,JR,Providence,31:30.3,151,2016
184,Luis Martinez,JR,Oklahoma State,31:30.8,152,2016
185,Eric Hamer,SO,Colorado State,31:31.1,153,2016
186,Jake Brophy,FR,Navy,31:31.4,154,2016
187,Trevor Crawley,SR,Providence,31:32.1,155,2016
188,Ryan Speir,SR,Navy,31:32.4,156,2016
189,Jake Leingang,SR,Oregon,31:34.4,157,2016
190,Andrew Rafla,SO,Boise State,31:34.6,158,2016
191,Alex Rogers,SO,Texas,31:35.2,159,2016
192,Christian Martin,JR,Colorado,31:35.4,160,2016
193,Stanley Limoh,FR,UL-Lafayette,31:35.4,—,2016
194,Amos Cheruiyot,JR,Middle Tennessee State,31:36.6,161,2016
195,John Rice,FR,Texas,31:37.1,162,2016
196,Austen Dalquist,JR,Arkansas,31:38.7,163,2016
197,Brandon Allen,JR,Iona,31:39.0,164,2016
198,John Nownes,SO,Iowa State,31:39.9,165,2016
199,John Lawson,JR,Cal,31:41.3,166,2016
200,Nick Carleo,FR,Providence,31:41.5,167,2016
201,Austin O’Neil,SR,UCLA,31:41.9,168,2016
202,Clark Ruiz,JR,Michigan State,31:42.0,169,2016
203,Brady Olson,SO,Southern Utah,31:43.0,170,2016
204,Michael Lederhouse,SR,Georgetown,31:44.3,171,2016
205,Dylan Blankenbaker,SR,Oklahoma,31:45.1,—,2016
206,Zach Dale,FR,Illinois,31:46.4,172,2016
207,Nicholas Tuck,SR,Penn,31:47.0,—,2016
208,Ari Klau,FR,Virginia,31:48.0,173,2016
209,Jaret Carpenter,FR,Purdue,31:48.2,—,2016
210,Connor Clark,SR,Dartmouth,31:49.4,174,2016
211,Jack Van Scoter,FR,Georgetown,31:50.3,175,2016
212,Riley Campbell,SO,Boise State,31:50.6,176,2016
213,Matthew Thomas,FR,Michigan State,31:51.0,177,2016
214,Zack Smith,SO,Illinois,31:51.9,178,2016
215,Aidan Reed,FR,Southern Utah,31:52.8,179,2016
216,Tyson Miehe,JR,Wisconsin,31:53.8,180,2016
217,Reilly Friedman,FR,Colorado,31:54.3,181,2016
218,Khalil Rmidi Kinini,SR,Maryland-Eastern Shore,31:55.8,—,2016
219,Jay Ort,SO,Tulsa,31:56.7,182,2016
220,Paul Ryan,SO,Washington State,31:57.4,183,2016
221,Cory Donley,JR,Navy,31:57.6,184,2016
222,Paul Zeiss,FR,Cal,31:58.0,185,2016
223,Sean Pengelly,SR,Illinois,31:58.8,186,2016
224,AJ Ernst,SO,Virginia,32:00.4,187,2016
225,Dan Lathrop,SO,Illinois,32:00.5,188,2016
226,Hillary Rono,SR,Middle Tennessee State,32:05.5,189,2016
227,Oliver Hoare,FR,Wisconsin,32:06.2,190,2016
228,Michael Saruni,FR,UTEP,32:08.0,191,2016
229,Kyle Dotterer,JR,Dartmouth,32:08.9,192,2016
230,Ben Barrett,FR,NC State,32:10.1,193,2016
231,Kai Benedict,FR,Cal,32:10.8,194,2016
232,Nate Moore,SR,Texas,32:29.4,195,2016
233,Allen Sumrall,SR,Texas,32:29.5,196,2016
234,Geoffry Cheruiyot,JR,Middle Tennessee State,32:31.1,197,2016
235,Mark Robertson,JR,Mississippi,32:32.8,198,2016
236,Daniel Cheruiyot,JR,UTEP,32:33.8,199,2016
237,Philip Hall,SO,NC State,32:37.2,200,2016
238,Aaron Hanlon,JR,Providence,32:43.8,201,2016
239,Matthew Bouthillette,FR,Georgetown,32:47.7,202,2016
240,Kyle Warrick,FR,Southern Utah,32:50.8,203,2016
241,Levi Thomet,FR,Oregon,32:51.4,204,2016
242,Rhys Park,JR,Boise State,32:54.6,205,2016
243,Elijah Moskowitz,SO,NC State,32:55.9,206,2016
244,Spencer Brown,FR,Georgetown,32:56.2,207,2016
